frame,use_trim,acc_raw_deg,acc_smooth_deg,raw_flip
79,0,1.6725,1.6725,0
80,0,0.939,0.939,0
81,0,1.7287,1.7287,0
82,0,0.1202,0.1202,0
83,0,0.3944,0.3944,0
84,0,1.2526,2.1129,0
85,0,0.3583,0.3583,0
86,0,1.6524,1.6524,0
87,0,0.8588,0.8588,0
88,0,1.5264,1.5264,0
89,0,0.5951,0.637,0
90,0,1.0204,1.0204,0
91,0,0.3889,0.3889,0
92,0,0.4138,0.4138,0
93,0,0.929,0.929,0
94,0,0.8794,0.357,0
95,0,1.042,1.042,0
96,0,0.441,0.441,0
97,0,0.1502,0.1502,0
98,0,2.3599,2.3599,0
99,0,1.1286,1.702,0
100,0,1.1423,1.1423,0
101,0,0.7782,0.7782,0
102,0,0.8856,0.8856,0
103,0,0.9344,0.9344,0
104,0,0.8197,0.9571,0
105,0,1.3788,1.3788,0
106,0,1.1136,1.1136,0
107,0,1.372,1.372,0
108,0,0.4392,0.4392,0
109,0,0.6525,0.8112,0
110,0,1.3322,1.3322,0
111,0,0.6322,0.6322,0
112,0,0.3459,0.3459,0
113,0,1.2078,1.2078,0
114,0,1.0938,0.598,0
115,0,1.2028,1.2028,0
116,0,1.3618,1.3618,0
117,0,1.3074,1.3074,0
118,0,0.7053,0.7053,0
119,0,1.0415,5.8404,0
120,0,1.3841,1.3841,0
121,0,0.5228,0.5228,0
122,0,1.5099,1.5099,0
123,0,1.1675,1.1675,0
124,0,1.3169,1.3327,0
125,0,0.6503,0.6503,0
126,0,0.6835,0.6835,0
127,0,0.5062,0.5062,0
128,0,0.7547,0.7547,0
129,0,1.3326,13.1359,0
130,0,1.3909,1.3909,0
131,0,0.9435,0.9435,0
132,0,0.7778,0.7778,0
133,0,1.0954,1.0954,0
134,0,0.579,0.6035,0
135,0,1.03,1.03,0
136,0,1.931,1.931,0
137,0,0.6381,0.6381,0
138,0,1.8619,1.8619,0
139,0,1.3049,1.03,0
140,0,0.9223,0.9223,1
141,0,1.0279,1.0279,1
142,0,1.3072,1.3072,0
143,0,0.9438,0.9438,0
144,0,0.7233,0.7831,0
145,0,1.8856,1.8856,0
146,0,0.4675,0.4675,0
147,0,1.7471,1.7471,0
148,0,0.3675,0.3675,1
149,0,0.6586,0.8949,1
150,0,0.8888,0.8888,1
151,0,0.7305,0.7305,1
152,0,1.6997,1.6997,0
153,0,1.2187,1.2187,1
154,0,1.1567,1.2038,0
155,0,0.8355,0.8355,1
156,0,1.952,1.952,1
157,0,1.0905,1.0905,1
158,0,1.4029,1.4029,1
159,0,1.7188,1.0247,0
160,0,2.2192,2.2192,0
161,0,1.1326,1.1326,0
162,0,1.0705,1.0705,0
163,0,0.3299,0.3299,0
164,0,0.6955,0.7865,0
165,0,1.3876,1.3876,0
166,0,0.7102,0.7102,0
167,0,1.3681,1.3681,0
168,0,0.6174,0.6174,0
169,0,1.6546,1.2801,0
170,0,0.8393,0.8393,0
171,0,1.5877,1.5877,0
172,0,0.9178,0.9178,0
173,0,1.8108,1.8108,0
174,0,1.2527,1.4507,0
175,0,0.3318,0.3318,0
176,0,0.3494,0.3494,0
177,0,0.942,0.942,0
178,0,2.0014,2.0014,0
179,0,0.5383,0.3812,0
180,0,1.2011,1.2011,0
181,0,0.9785,0.9785,0
182,0,0.8449,0.8449,0
183,0,1.1739,1.1739,0
184,0,0.9648,15.2671,0
185,0,0.3716,0.3716,0
186,0,1.795,1.795,0
187,0,1.3789,1.3789,0
188,0,1.1325,1.1325,0
189,0,0.5046,0.8455,0
190,0,1.1373,1.1373,0
191,0,0.6585,0.6585,0
192,0,1.1523,1.1523,0
193,0,1.1165,1.1165,0
194,0,1.1307,1.2364,0
195,0,0.6246,0.6246,0
196,0,0.9592,0.9592,0
197,0,0.2997,0.2997,0
198,0,0.8803,0.8803,0
199,0,0.7995,0.7675,0
0,1,0.0867,0.0867,0
1,1,0.1795,0.1795,0
2,1,0.4,0.4,0
3,1,0.4236,0.4236,0
4,1,0.4311,0.4311,0
5,1,0.1992,0.1992,0
6,1,0.1162,0.1162,0
7,1,0.1982,0.1982,0
8,1,0.3601,0.3601,0
9,1,0.2563,0.2563,0
10,1,0.3343,0.3343,0
11,1,0.6757,0.6757,0
12,1,0.3695,0.3695,0
13,1,0.1461,0.1461,0
14,1,0.2441,0.2441,0
15,1,0.0863,0.0863,0
16,1,0.0408,0.0408,0
17,1,0.1351,0.1351,0
18,1,0.087,0.087,0
19,1,0.1291,0.1291,0
20,1,0.0979,0.0979,0
21,1,0.0177,0.0177,0
22,1,0.3595,0.3595,0
23,1,0.327,0.327,0
24,1,0.2031,0.2031,0
25,1,0.3738,0.3738,0
26,1,0.084,0.084,0
27,1,0.1739,0.1739,0
28,1,0.3001,0.3001,0
29,1,0.1102,0.1102,0
30,1,0.1583,0.1583,0
31,1,0.0252,0.0252,0
32,1,0.2811,0.2811,0
33,1,0.145,0.145,0
34,1,0.1066,0.1066,0
35,1,0.224,0.224,0
36,1,0.0343,0.0343,0
37,1,0.11,0.11,0
38,1,0.0841,0.0841,0
39,1,0.0713,0.0713,0
40,1,0.0501,0.0501,0
41,1,0.1241,0.1241,0
42,1,0.1227,0.1227,0
43,1,0.1004,0.1004,0
44,1,0.0664,0.0664,0
45,1,0.0485,0.0485,0
46,1,0.0738,0.0738,0
47,1,0.1922,0.1922,0
48,1,0.0709,0.0709,0
49,1,0.1855,0.1855,0
50,1,0.0414,0.0414,0
51,1,0.2444,0.2444,0
52,1,0.081,0.081,0
53,1,0.116,0.116,0
54,1,0.1165,0.1165,0
55,1,0.1727,0.1727,0
56,1,0.1049,0.1049,0
57,1,0.0773,0.0773,0
58,1,0.0878,0.0878,0
59,1,0.1257,0.1257,0
60,1,0.101,0.101,0
61,1,0.3546,0.3546,0
62,1,0.0603,0.0603,0
63,1,0.2519,0.2519,0
64,1,0.283,0.283,0
65,1,0.1008,0.1008,0
66,1,0.183,0.183,0
67,1,0.0563,0.0563,0
68,1,0.1069,0.1069,0
69,1,0.0906,0.0906,0
70,1,0.06,0.06,0
71,1,0.248,0.248,0
72,1,0.2685,0.2685,0
73,1,0.3593,0.3593,0
74,1,0.1334,0.1334,0
75,1,0.1051,0.1051,0
76,1,0.2927,0.2927,0
77,1,0.4671,0.4671,0
78,1,0.3262,0.3262,0
79,1,0.2809,0.2809,0
80,1,0.1934,0.1934,0
81,1,0.1091,0.1091,0
82,1,0.2729,0.2729,0
83,1,0.1489,0.1489,0
84,1,0.2273,0.2273,0
85,1,0.2658,0.2658,0
86,1,0.0986,0.0986,0
87,1,0.3187,0.3187,0
88,1,0.0634,0.0634,0
89,1,0.2328,0.2328,0
90,1,0.0106,0.0106,0
91,1,0.118,0.118,0
92,1,0.2194,0.2194,0
93,1,0.3354,0.3354,0
94,1,0.1434,0.1434,0
95,1,0.1898,0.1898,0
96,1,0.2015,0.2015,0
97,1,0.3836,0.3836,0
98,1,0.0748,0.0748,0
99,1,0.0658,0.0658,0
100,1,0.3028,0.3028,0
101,1,0.0932,0.0932,0
102,1,0.2009,0.2009,0
103,1,0.0768,0.0768,0
104,1,0.0829,0.0829,0
105,1,0.0782,0.0782,0
106,1,0.1764,0.1764,0
107,1,0.1845,0.1845,0
108,1,0.036,0.036,0
109,1,0.0742,0.0742,0
110,1,0.4162,0.4162,0
111,1,0.4196,0.4196,0
112,1,0.2259,0.2259,0
113,1,0.4293,0.4293,0
114,1,0.2108,0.2108,0
115,1,0.0749,0.0749,0
116,1,0.0963,0.0963,0
117,1,0.0947,0.0947,0
118,1,0.1001,0.1001,0
119,1,0.0762,0.0762,0
120,1,0.1419,0.1419,0
121,1,0.1147,0.1147,0
122,1,0.2214,0.2214,0
123,1,0.2428,0.2428,0
124,1,0.2215,0.2215,0
125,1,0.0982,0.0982,0
126,1,0.1335,0.1335,0
127,1,0.2486,0.2486,0
128,1,0.1619,0.1619,0
129,1,0.1099,0.1099,0
130,1,0.1259,0.1259,0
131,1,0.1196,0.1196,0
132,1,0.2046,0.2046,0
133,1,0.2415,0.2415,0
134,1,0.1063,0.1063,0
135,1,0.3199,0.3199,0
136,1,0.2909,0.2909,0
137,1,0.1652,0.1652,0
138,1,0.1023,0.1023,0
139,1,0.1604,0.1604,0
140,1,0.242,0.242,0
141,1,0.1083,0.1083,0
142,1,0.0564,0.0564,0
143,1,0.1021,0.1021,0
144,1,0.3318,0.3318,0
145,1,0.5239,0.5239,0
146,1,0.4256,0.4256,0
147,1,0.6844,0.6844,0
148,1,0.6312,0.6312,0
149,1,0.3381,0.3381,0
150,1,0.0529,0.0529,0
151,1,0.2851,0.2851,1
152,1,0.4092,0.4092,0
153,1,0.543,0.543,0
154,1,0.2812,0.2812,0
155,1,0.3386,0.3386,0
156,1,0.0681,0.0681,0
157,1,0.1192,0.1192,0
158,1,0.2668,0.2668,0
159,1,0.3872,0.3872,0
160,1,0.4816,0.4816,0
161,1,0.3827,0.3827,0
162,1,0.4365,0.4365,0
163,1,0.1458,0.1458,0
164,1,0.1186,0.1186,0
165,1,0.0511,0.0511,0
166,1,0.0529,0.0529,0
167,1,0.1496,0.1496,0
168,1,0.2672,0.2672,0
169,1,0.057,0.057,0
170,1,0.2409,0.2409,0
171,1,0.1811,0.1811,0
172,1,0.5065,0.5065,0
173,1,0.1918,0.1918,0
174,1,0.129,0.129,0
175,1,0.084,0.084,0
176,1,0.3688,0.3688,0
177,1,0.154,0.154,0
178,1,0.2993,0.2993,0
179,1,0.2082,0.2082,0
180,1,0.2517,0.2517,0
181,1,0.2096,0.2096,0
182,1,0.0477,0.0477,0
183,1,0.256,0.256,0
184,1,0.3009,0.3009,0
185,1,0.0864,0.0864,0
186,1,0.0813,0.0813,0
187,1,0.0525,0.0525,0
188,1,0.0615,0.0615,0
189,1,0.1089,0.1089,0
190,1,0.1379,0.1379,0
191,1,0.0804,0.0804,0
192,1,0.1716,0.1716,0
193,1,0.0519,0.0519,0
194,1,0.2045,0.2045,0
195,1,0.1639,0.1639,0
196,1,0.153,0.153,0
197,1,0.1705,0.1705,0
198,1,0.1996,0.1996,0
199,1,0.1372,0.1372,0
