tool,frame,gt_yaw,flip_trap,n_pts,err_raw,err_pose,err_smooth,signed_raw,signed_smooth
pliers_box,70,35.0,0,333,0.431,1.0623,0.431,179.57,179.57
pliers_box,71,35.5,0,333,0.4099,1.0688,0.4099,179.59,179.59
pliers_box,72,36.0,0,333,0.5364,1.0512,0.5364,179.46,179.46
pliers_box,73,36.5,0,333,0.4851,1.048,0.4851,179.51,179.51
pliers_box,74,37.0,0,333,0.4277,1.091,0.4277,179.57,179.57
pliers_box,75,37.5,0,333,0.3705,1.1413,0.3705,179.63,179.63
pliers_box,76,38.0,0,333,0.5805,1.1056,0.5805,179.42,179.42
pliers_box,77,38.5,0,333,0.4119,1.0865,0.4119,179.59,179.59
pliers_box,78,39.0,0,333,0.4243,1.0814,0.4243,179.58,179.58
pliers_box,79,39.5,0,333,0.4052,1.0973,0.4052,179.59,179.59
pliers_box,80,40.0,0,333,0.4573,1.0712,0.4573,179.54,179.54
pliers_box,81,40.5,0,333,0.3575,1.0916,0.3575,179.64,179.64
pliers_box,82,41.0,0,333,0.4744,1.0712,0.4744,179.53,179.53
pliers_box,83,41.5,0,333,0.4734,1.0615,0.4734,179.53,179.53
pliers_box,84,42.0,0,333,0.3902,1.0778,0.3902,179.61,179.61
pliers_box,85,42.5,0,333,0.4508,1.075,0.4508,179.55,179.55
pliers_box,86,43.0,0,333,0.3825,1.0964,0.3825,179.62,179.62
pliers_box,87,43.5,0,333,0.3838,1.1173,0.3838,179.62,179.62
pliers_box,88,44.0,0,333,0.4484,1.089,0.4484,179.55,179.55
pliers_box,89,44.5,0,333,0.4253,1.0858,0.4253,179.57,179.57
pliers_box,90,75.0,0,333,0.3898,23.5863,0.3898,179.61,179.61
pliers_box,91,75.5,0,333,0.4052,17.9675,0.4052,179.59,179.59
pliers_box,92,76.0,0,333,0.4557,13.7411,0.4557,179.54,179.54
pliers_box,93,76.5,0,333,0.5631,10.5412,0.5631,179.44,179.44
pliers_box,94,77.0,0,333,0.4049,8.1817,0.4049,179.6,179.6
pliers_box,95,77.5,0,333,0.3954,6.4111,0.3954,179.6,179.6
pliers_box,96,78.0,0,333,0.4324,5.0751,0.4324,179.57,179.57
pliers_box,97,78.5,0,333,0.4422,4.0776,0.4422,179.56,179.56
pliers_box,98,79.0,0,333,0.4625,3.3312,0.4625,179.54,179.54
pliers_box,99,79.5,0,333,0.4312,2.7835,0.4312,179.57,179.57
pliers_box,100,80.0,0,333,0.4666,2.3688,0.4666,179.53,179.53
pliers_box,101,80.5,0,333,0.4199,2.0472,0.4199,179.58,179.58
pliers_box,102,81.0,0,333,0.4389,1.7977,0.4389,179.56,179.56
pliers_box,103,81.5,0,333,0.4186,1.6213,0.4186,179.58,179.58
pliers_box,104,82.0,0,333,0.5207,1.4601,0.5207,179.48,179.48
pliers_box,105,82.5,0,333,0.3507,1.3783,0.3507,179.65,179.65
pliers_box,106,83.0,0,333,0.4712,1.2905,0.4712,179.53,179.53
pliers_box,107,83.5,0,333,0.3384,1.259,0.3384,179.66,179.66
pliers_box,108,84.0,0,333,0.3835,1.2236,0.3835,179.62,179.62
pliers_box,109,84.5,0,333,0.5487,1.1575,0.5487,179.45,179.45
pliers_box,110,85.0,0,333,0.5157,1.1147,0.5157,179.48,179.48
pliers_box,111,85.5,0,333,0.468,1.0936,0.468,179.53,179.53
pliers_box,112,86.0,0,333,0.4704,1.0791,0.4704,179.53,179.53
pliers_box,113,86.5,0,333,0.4413,1.077,0.4413,179.56,179.56
pliers_box,114,87.0,0,333,0.4199,1.0812,0.4199,179.58,179.58
pliers_box,115,87.5,0,333,0.469,1.0656,0.469,179.53,179.53
pliers_box,116,88.0,0,333,0.5238,1.0479,0.5238,179.48,179.48
pliers_box,117,88.5,0,333,0.5471,1.0248,0.5471,179.45,179.45
pliers_box,118,89.0,0,333,0.4376,1.0363,0.4376,179.56,179.56
pliers_box,119,89.5,0,333,0.3466,1.0656,0.3466,179.65,179.65
pliers_box,120,90.0,0,333,0.4438,46.0626,0.4438,0.44,179.56
pliers_box,121,90.5,0,333,0.3538,79.8334,0.3538,0.35,179.65
pliers_box,122,91.0,0,333,0.6095,74.9003,0.6095,0.61,179.39
pliers_box,123,91.5,0,333,0.422,55.9053,0.422,0.42,179.58
pliers_box,124,92.0,0,333,0.3744,41.6477,0.3744,0.37,179.63
pliers_box,125,92.5,0,333,0.4391,30.9698,0.4391,0.44,179.56
pliers_box,126,93.0,0,333,0.5554,22.9912,0.5554,0.56,179.44
pliers_box,127,93.5,0,333,0.44,16.9784,0.44,0.44,179.56
pliers_box,128,94.0,0,333,0.4554,12.4727,0.4554,0.46,179.54
pliers_box,129,94.5,0,333,0.4121,9.0813,0.4121,0.41,179.59
pliers_box,130,95.0,1,333,0.4088,6.5373,0.4088,179.59,0.41
pliers_box,131,95.5,1,333,0.3506,4.6164,0.3506,179.65,0.35
pliers_box,132,96.0,1,333,0.3795,3.1836,0.3795,179.62,0.38
