tool_id,name,method,frame,frame_ms,n_points,d_axis0_deg,d_axis1_deg,d_axis2_deg,jitter_max_deg,flip,stable,power_iter
T01,long_nose_pliers,raw,54,0.10042,1801,0.1537,9.6382,9.6373,9.6382,0,1,0
T01,long_nose_pliers,raw,55,0.09637,1800,0.1611,1.5851,1.5785,1.5851,0,1,0
T01,long_nose_pliers,raw,56,0.09846,1800,0.068,0.2359,0.2279,0.2359,0,1,0
T01,long_nose_pliers,raw,57,0.08808,1800,0.0223,0.0521,0.0491,0.0521,0,1,0
T01,long_nose_pliers,raw,58,0.09412,1800,0.0614,0.0615,0.0049,0.0615,0,1,0
T01,long_nose_pliers,raw,59,0.09771,1800,0.0925,0.0642,0.072,0.0925,0,1,0
T01,long_nose_pliers,raw,60,0.10163,1802,0.0398,1.7918,1.7921,1.7921,0,1,0
T01,long_nose_pliers,raw,61,0.08767,1800,0.0749,1.8699,1.8694,1.8699,0,1,0
T01,long_nose_pliers,raw,62,0.10917,1800,0.0726,0.1831,0.175,0.1831,0,1,0
T01,long_nose_pliers,raw,63,0.09275,1802,0.2981,6.427,6.4243,6.427,0,1,0
T01,long_nose_pliers,raw,64,0.09429,1800,0.3391,6.5866,6.5875,6.5875,0,1,0
T01,long_nose_pliers,raw,65,0.09329,1800,0.114,0.1497,0.1752,0.1752,0,1,0
T01,long_nose_pliers,raw,66,0.09362,1800,0.0512,0.315,0.3188,0.3188,0,1,0
T01,long_nose_pliers,raw,67,0.08713,1800,0.0492,0.0997,0.1084,0.1084,0,1,0
T01,long_nose_pliers,raw,68,0.08508,1803,0.0388,2.7702,2.7702,2.7702,0,1,0
T01,long_nose_pliers,raw,69,0.09287,1800,0.022,2.9701,2.9701,2.9701,0,1,0
T01,long_nose_pliers,raw,70,0.09338,1804,0.1521,2.2074,2.2061,2.2074,0,1,0
T01,long_nose_pliers,raw,71,0.09471,1801,0.1699,0.1661,0.0382,0.1699,0,1,0
T01,long_nose_pliers,raw,72,0.10521,1800,0.0714,2.1269,2.1276,2.1276,0,1,0
T01,long_nose_pliers,raw,73,0.08454,1800,0.0413,0.0538,0.0366,0.0538,0,1,0
T01,long_nose_pliers,raw,74,0.102,1800,0.0706,0.2028,0.1979,0.2028,0,1,0
T01,long_nose_pliers,raw,75,0.08846,1802,0.1231,0.122,0.0491,0.1231,0,1,0
T01,long_nose_pliers,raw,76,0.099,1801,0.0538,1.1111,1.111,1.1111,0,1,0
T01,long_nose_pliers,raw,77,0.09242,1800,0.1062,1.1245,1.1211,1.1245,0,1,0
T01,long_nose_pliers,raw,78,0.11563,1801,0.0864,0.7645,0.7682,0.7682,0,1,0
T01,long_nose_pliers,raw,79,0.10671,1805,0.1863,11.2233,11.2248,11.2248,0,1,0
T01,long_nose_pliers,raw,80,0.08879,1800,0.0733,12.3357,12.3358,12.3358,0,1,0
T01,long_nose_pliers,raw,81,0.09146,1800,0.1091,0.1773,0.1946,0.1946,0,1,0
T01,long_nose_pliers,raw,82,0.09462,1800,0.0434,0.3008,0.3011,0.3011,0,1,0
T01,long_nose_pliers,raw,83,0.09646,1805,0.3607,4.2348,4.2458,4.2458,0,1,0
T01,long_nose_pliers,raw,84,0.09483,1800,0.3225,4.087,4.0955,4.0955,0,1,0
T01,long_nose_pliers,raw,85,0.08588,1802,0.0402,6.2736,6.2737,6.2737,0,1,0
T01,long_nose_pliers,raw,86,0.0965,1800,0.0594,6.4704,6.4706,6.4706,0,1,0
T01,long_nose_pliers,raw,87,0.09967,1800,0.0176,0.4369,0.4366,0.4369,0,1,0
T01,long_nose_pliers,raw,88,0.08867,1800,0.0275,0.1978,0.1984,0.1984,0,1,0
T01,long_nose_pliers,raw,89,0.09808,1802,0.1623,3.7302,3.7272,3.7302,0,1,0
T01,long_nose_pliers,raw,90,0.08908,1802,0.0835,4.2448,4.2446,4.2448,0,1,0
T01,long_nose_pliers,raw,91,0.08583,1804,0.3145,8.5531,8.5569,8.5569,0,1,0
T01,long_nose_pliers,raw,92,0.08758,1800,0.3158,9.0126,9.0179,9.0179,0,1,0
T01,long_nose_pliers,raw,93,0.08925,1800,0.0205,0.241,0.2418,0.2418,0,1,0
T01,long_nose_pliers,raw,94,0.09613,1805,0.093,1.7175,1.7154,1.7175,0,1,0
T01,long_nose_pliers,raw,95,0.08762,1800,0.1608,1.9857,1.9824,1.9857,0,1,0
T01,long_nose_pliers,raw,96,0.08683,1800,0.0539,0.463,0.4644,0.4644,0,1,0
T01,long_nose_pliers,raw,97,0.09229,1805,0.3742,1.6946,1.7331,1.7331,0,1,0
T01,long_nose_pliers,raw,98,0.08767,1804,0.552,3.2377,3.284,3.284,0,1,0
T01,long_nose_pliers,raw,99,0.10246,1801,0.1791,3.5406,3.5449,3.5449,0,1,0
T01,long_nose_pliers,raw,100,0.10133,1800,0.0453,1.8992,1.8993,1.8993,0,1,0
T01,long_nose_pliers,raw,101,0.09,1800,0.0258,0.0593,0.0558,0.0593,0,1,0
T01,long_nose_pliers,raw,102,0.10388,1800,0.11,0.1699,0.2017,0.2017,0,1,0
T01,long_nose_pliers,raw,103,0.10725,1803,0.2294,4.2637,4.258,4.2637,0,1,0
T01,long_nose_pliers,raw,104,0.12358,1800,0.2584,4.0619,4.0537,4.0619,0,1,0
T01,long_nose_pliers,raw,105,0.09467,1803,0.3235,1.8506,1.8688,1.8688,0,1,0
T01,long_nose_pliers,raw,106,0.10237,1805,0.1239,1.3316,1.328,1.3316,0,1,0
T01,long_nose_pliers,raw,107,0.08742,1800,0.3246,0.7005,0.724,0.724,0,1,0
T01,long_nose_pliers,raw,108,0.09404,1800,0.0756,0.1274,0.1395,0.1395,0,1,0
T01,long_nose_pliers,raw,109,0.08871,1800,0.0516,0.1193,0.1169,0.1193,0,1,0
T01,long_nose_pliers,raw,110,0.08588,1800,0.0834,0.0761,0.0444,0.0834,0,1,0
T01,long_nose_pliers,raw,111,0.09358,1802,0.0843,1.3155,1.3147,1.3155,0,1,0
T01,long_nose_pliers,raw,112,0.09875,1802,0.2336,5.0269,5.0292,5.0292,0,1,0
T01,long_nose_pliers,raw,113,0.09638,1800,0.1518,3.7369,3.7345,3.7369,0,1,0
T01,long_nose_pliers,raw,114,0.08813,1800,0.0372,0.3507,0.351,0.351,0,1,0
T01,long_nose_pliers,raw,115,0.08513,1800,0.0374,0.1521,0.1566,0.1566,0,1,0
T01,long_nose_pliers,raw,116,0.087,1800,0.0368,0.2415,0.2387,0.2415,0,1,0
T01,long_nose_pliers,raw,117,0.08404,1800,0.0315,0.1957,0.1974,0.1974,0,1,0
T01,long_nose_pliers,raw,118,0.08721,1805,0.2632,5.8674,5.8722,5.8722,0,1,0
T01,long_nose_pliers,raw,119,0.08317,1800,0.2745,5.7915,5.798,5.798,0,1,0
T01,long_nose_pliers,raw,120,0.08121,1800,0.0313,0.0518,0.0425,0.0518,0,1,0
T01,long_nose_pliers,raw,121,0.08975,1800,0.013,0.1955,0.1952,0.1955,0,1,0
T01,long_nose_pliers,raw,122,0.09004,1802,0.0237,1.4163,1.4161,1.4163,0,1,0
T01,long_nose_pliers,raw,123,0.09892,1800,0.071,1.53,1.5285,1.53,0,1,0
T01,long_nose_pliers,raw,124,0.09358,1805,0.1705,2.8833,2.8861,2.8861,0,1,0
T01,long_nose_pliers,raw,125,0.09467,1800,0.1105,2.7574,2.7568,2.7574,0,1,0
T01,long_nose_pliers,raw,126,0.09537,1800,0.1085,0.1469,0.1806,0.1806,0,1,0
T01,long_nose_pliers,raw,127,0.10304,1800,0.0617,0.1642,0.1753,0.1753,0,1,0
T01,long_nose_pliers,raw,128,0.12042,1800,0.0606,0.1929,0.193,0.193,0,1,0
T01,long_nose_pliers,raw,129,0.08346,1800,0.0817,0.1307,0.1035,0.1307,0,1,0
T01,long_nose_pliers,raw,130,0.09117,1805,0.1549,1.808,1.8128,1.8128,0,1,0
T01,long_nose_pliers,raw,131,0.09129,1800,0.154,1.8138,1.8203,1.8203,0,1,0
T01,long_nose_pliers,raw,132,0.10046,1801,0.1587,1.5449,1.5404,1.5449,0,1,0
